Latitude,Longitude,RSSI
50.946700,-1.267200,-91
50.926400,-1.341400,-83
50.930000,-1.294300,-85
50.944700,-1.251500,-93
50.921900,-1.350200,-98
50.914600,-1.260700,-98
50.908100,-1.304800,-100
50.972300,-1.261100,-100
50.969600,-1.378900,-92
50.918700,-1.331700,-92
50.990300,-1.308300,-99
50.903000,-1.302500,-97
50.994800,-1.314100,-99
50.931300,-1.282900,-81
50.927900,-1.343200,-91
50.973500,-1.374600,-99
50.917300,-1.338900,-97
50.925800,-1.186100,-96
50.975700,-1.365300,-98
50.927200,-1.324600,-81
50.970100,-1.251100,-95
50.973600,-1.301900,-83
50.962700,-1.294000,-87
50.969300,-1.249300,-95
50.917000,-1.322100,-83
50.948000,-1.264400,-88
51.003100,-1.150200,-91
50.979300,-1.226600,-100
50.966700,-1.313400,-88
50.991700,-1.313500,-98
50.934600,-1.210400,-97
50.920500,-1.345200,-89
50.941200,-1.267300,-94
50.968400,-1.334000,-94
50.963200,-1.304200,-83
50.948200,-1.263700,-88
50.969500,-1.356200,-100
50.949500,-1.251800,-95
50.968200,-1.328300,-82
50.947000,-1.267500,-88
51.040200,-1.224600,-92
51.004700,-1.271600,-96
50.973300,-1.217600,-89
50.935300,-1.262900,-86
50.974100,-1.367100,-92
50.972600,-1.254000,-99
50.963700,-1.320200,-86
50.944900,-1.284700,-87
50.927700,-1.342900,-91
50.927200,-1.326000,-86
50.966000,-1.255600,-96
50.947200,-1.266100,-91
50.971300,-1.215400,-98
50.923400,-1.342200,-93
50.932500,-1.218500,-92
50.975800,-1.353300,-90
50.908900,-1.296700,-99
50.963300,-1.302600,-83
50.924400,-1.303800,-100
50.963800,-1.293000,-84
50.973200,-1.256600,-99
51.000000,-1.353400,-94
50.988000,-1.345900,-99
50.953300,-1.248500,-88
50.944700,-1.224300,-99
50.946300,-1.372700,-93
50.924100,-1.309100,-90
50.966500,-1.328400,-83
50.962200,-1.254600,-93
50.934600,-1.262200,-92
50.976500,-1.364800,-96
50.918900,-1.315300,-93
50.929000,-1.309300,-88
50.970900,-1.215200,-100
50.977300,-1.302900,-88
50.937800,-1.330300,-80
50.993000,-1.321800,-99
50.990900,-1.334600,-98
50.966700,-1.329600,-84
50.916900,-1.330300,-100
50.988800,-1.273600,-90
50.967700,-1.332500,-92
50.969400,-1.353300,-100
50.966900,-1.321000,-85
50.929100,-1.357200,-93
50.997500,-1.313900,-94
50.975400,-1.251800,-97
50.942100,-1.265700,-91
50.964300,-1.254600,-95
50.975200,-1.350100,-99
50.972900,-1.350900,-87
50.932700,-1.299700,-86
51.008300,-1.394200,-98
50.946800,-1.267400,-91
50.993800,-1.322700,-93
51.000100,-1.149800,-88
50.966700,-1.329600,-83
50.929200,-1.281600,-80
50.924400,-1.187500,-98
50.979100,-1.304200,-95
50.934000,-1.315000,-86
50.935800,-1.263700,-87
50.927000,-1.184900,-89
50.934200,-1.303400,-91
50.965800,-1.310900,-80
50.962700,-1.296300,-89
50.947000,-1.278200,-84
50.992100,-1.271700,-96
50.928300,-1.352600,-98
50.976200,-1.354100,-95
50.930000,-1.327200,-81
50.917400,-1.316800,-89
50.966600,-1.322900,-81
50.918100,-1.250600,-100
50.988000,-1.287100,-97
50.949500,-1.253500,-88
51.043700,-1.234000,-88
50.987700,-1.345500,-96
50.984900,-1.284800,-96
50.935200,-1.410400,-96
50.927200,-1.274600,-98
50.972700,-1.350900,-92
50.948400,-1.251700,-93
50.969900,-1.359300,-100
50.944600,-1.285500,-83
50.977000,-1.253800,-96
50.951900,-1.259000,-92
50.927400,-1.332600,-87
50.931100,-1.242400,-83
50.969800,-1.357500,-100
50.917100,-1.315900,-92
50.976600,-1.336000,-82
50.926700,-1.242900,-85
50.956600,-1.404200,-98
50.932400,-1.346900,-96
50.964400,-1.363700,-95
50.930600,-1.345900,-99
50.959500,-1.295000,-80
50.917200,-1.320200,-87
50.979300,-1.304400,-98
50.987700,-1.303800,-97
50.982200,-1.233900,-87
50.980400,-1.154500,-96
50.991500,-1.315100,-98
50.927500,-1.265000,-96
50.970400,-1.251700,-95
50.929900,-1.282000,-89
50.974600,-1.336500,-86
50.957100,-1.400200,-93
50.966100,-1.382600,-93
50.935100,-1.312900,-85
51.043300,-1.232600,-90
50.905900,-1.304400,-100
50.945500,-1.283200,-84
50.926000,-1.279300,-98
50.874000,-1.241600,-93
50.934300,-1.304500,-92
50.965700,-1.297600,-90
50.987800,-1.386900,-100
50.957200,-1.294700,-80
50.926800,-1.272400,-87
51.057900,-1.340700,-95
50.923800,-1.245900,-92
50.920000,-1.275400,-96
50.903700,-1.277900,-94
51.000500,-1.242700,-98
50.990400,-1.206400,-97
50.979300,-1.355200,-95
50.994200,-1.313500,-94
50.931500,-1.346300,-92
50.988800,-1.208900,-96
50.923500,-1.341800,-92
50.980900,-1.331100,-96
51.001000,-1.317000,-100
50.932300,-1.219500,-91
50.977000,-1.302800,-91
50.926900,-1.280000,-97
50.970400,-1.355700,-96
50.928500,-1.336600,-86
50.916100,-1.324700,-86
50.918000,-1.221400,-98
50.973100,-1.350800,-85
50.985100,-1.305700,-95
50.918700,-1.255000,-99
50.962400,-1.305500,-85
50.923700,-1.278100,-94
50.975000,-1.350200,-99
50.936900,-1.278200,-81
50.975000,-1.260600,-99
50.987500,-1.348100,-92
50.978700,-1.265400,-98
50.972400,-1.255300,-93
50.972400,-1.368100,-97
50.963200,-1.254800,-95
50.920600,-1.191800,-100
50.980200,-1.362000,-91
50.961700,-1.319800,-80
50.947600,-1.265200,-89
50.967200,-1.319200,-83
50.970700,-1.215100,-100
50.928200,-1.183800,-95
